City,ST,ZIP,A/C,FIPS,County,T/Z,DST?,Lat,Long,Type
Altamont,UT,84001,435,49013,Duchesne,MST,Y,40.391,-110.4799,
Altonah,UT,84002,435,49013,Duchesne,MST,Y,40.4647,-110.4487,
American Fork,UT,84003,801,49049,Utah,MST,Y,40.4102,-111.814,
Alpine,UT,84004,801,49049,Utah,MST,Y,40.4952,-111.6819,
Bingham Canyon,UT,84006,801,49035,Salt Lake,MST,Y,40.5425,-112.133,
Bluebell,UT,84007,435,49013,Duchesne,MST,Y,40.3372,-110.3379,
Bonanza,UT,84008,435,49047,Uintah,MST,Y,40.0194,-109.1767,
Bountiful,UT,84010,801,49011,Davis,MST,Y,40.8715,-111.8314,
Bountiful,UT,84011,801,49011,Davis,MST,Y,40.8895,-111.8802,P
Cedar Valley,UT,84013,801,49049,Utah,MST,Y,40.1341,-112.0437,
Centerville,UT,84014,801,49011,Davis,MST,Y,40.9303,-111.8585,
Clearfield,UT,84015,801,49011,Davis,MST,Y,41.123,-112.0639,
Clearfield,UT,84016,801,49011,Davis,MST,Y,41.1108,-112.0254,P
Coalville,UT,84017,435,49043,Summit,MST,Y,40.9431,-111.2122,
Croydon,UT,84018,801,49029,Morgan,MST,Y,41.1138,-111.5092,
Draper,UT,84020,801,49035,Salt Lake,MST,Y,40.5003,-111.8772,
Duchesne,UT,84021,435,49013,Duchesne,MST,Y,39.9707,-110.4773,
Dugway,UT,84022,435,49045,Tooele,MST,Y,40.2589,-113.0497,
Dutch John,UT,84023,435,49009,Daggett,MST,Y,40.9454,-109.243,
Echo,UT,84024,435,49043,Summit,MST,Y,40.9775,-111.4428,P
Farmington,UT,84025,801,49011,Davis,MST,Y,40.9772,-111.8755,
Fort Duchesne,UT,84026,435,49047,Uintah,MST,Y,40.2958,-109.8408,
Fruitland,UT,84027,435,49013,Duchesne,MST,Y,40.2129,-110.8387,P
Garden City,UT,84028,435,49033,Rich,MST,Y,41.9408,-111.4337,
Grantsville,UT,84029,435,49045,Tooele,MST,Y,40.666,-112.5273,
Gusher,UT,84030,435,49047,Uintah,MST,Y,40.3016,-109.8176,P
Hanna,UT,84031,435,49013,Duchesne,MST,Y,40.4484,-110.825,
Heber City,UT,84032,435,49051,Wasatch,MST,Y,40.2386,-111.1499,
Henefer,UT,84033,435,49043,Summit,MST,Y,41.0863,-111.3265,P
Ibapah,UT,84034,435,49045,Tooele,MST,Y,40.0375,-113.9842,P
Jensen,UT,84035,435,49047,Uintah,MST,Y,40.3837,-109.3681,
Kamas,UT,84036,435,49043,Summit,MST,Y,40.8065,-110.7238,
Kaysville,UT,84037,801,49011,Davis,MST,Y,41.0365,-111.927,
Laketown,UT,84038,435,49033,Rich,MST,Y,41.8508,-111.2304,
Lapoint,UT,84039,435,49047,Uintah,MST,Y,40.3915,-109.8205,
Layton,UT,84040,801,49011,Davis,MST,Y,41.1018,-111.9067,
Layton,UT,84041,801,49011,Davis,MST,Y,41.0723,-111.9824,
Lindon,UT,84042,801,49049,Utah,MST,Y,40.3418,-111.7227,
Lehi,UT,84043,801,49049,Utah,MST,Y,40.3099,-111.9316,
Magna,UT,84044,801,49035,Salt Lake,MST,Y,40.7034,-112.1122,
Manila,UT,84046,435,49009,Daggett,MST,Y,40.8847,-109.765,
Midvale,UT,84047,801,49035,Salt Lake,MST,Y,40.615,-111.8913,
Midway,UT,84049,435,49051,Wasatch,MST,Y,40.5333,-111.5055,
Morgan,UT,84050,801,49029,Morgan,MST,Y,41.0884,-111.5762,
Mountain Home,UT,84051,435,49013,Duchesne,MST,Y,40.209,-110.7765,
Myton,UT,84052,435,49013,Duchesne,MST,Y,40.0407,-110.0248,
Neola,UT,84053,435,49013,Duchesne,MST,Y,40.5098,-110.0981,
North Salt Lake,UT,84054,801,49011,Davis,MST,Y,40.8433,-111.9231,
Oakley,UT,84055,435,49043,Summit,MST,Y,40.7119,-111.3004,P
Hill AFB,UT,84056,801,49011,Davis,MST,Y,41.1284,-111.9912,
Orem,UT,84057,801,49049,Utah,MST,Y,40.3142,-111.7099,
Orem,UT,84058,801,49049,Utah,MST,Y,40.2724,-111.717,
Orem,UT,84059,801,49049,Utah,MST,Y,40.2966,-111.6936,P
Park City,UT,84060,435,49043,Summit,MST,Y,40.6558,-111.5034,
Peoa,UT,84061,435,49043,Summit,MST,Y,40.7654,-111.287,
Pleasant Grove,UT,84062,801,49049,Utah,MST,Y,40.3798,-111.7415,
Randlett,UT,84063,435,49047,Uintah,MST,Y,40.211,-109.7318,
Randolph,UT,84064,435,49033,Rich,MST,Y,41.6479,-111.2168,
Riverton,UT,84065,801,49035,Salt Lake,MST,Y,40.4909,-112.0097,
Roosevelt,UT,84066,435,49013,Duchesne,MST,Y,40.5914,-110.3792,
Roy,UT,84067,801,49057,Weber,MST,Y,41.1733,-112.049,
Park City,UT,84068,435,49043,Summit,MST,Y,40.6463,-111.4972,P
Rush Valley,UT,84069,435,49045,Tooele,MST,Y,40.3367,-112.4607,
Sandy,UT,84070,801,49035,Salt Lake,MST,Y,40.5769,-111.8884,
Stockton,UT,84071,435,49045,Tooele,MST,Y,40.2688,-112.3708,
Tabiona,UT,84072,435,49013,Duchesne,MST,Y,40.3829,-110.6792,
Talmage,UT,84073,435,49013,Duchesne,MST,Y,40.2157,-110.4923,
Tooele,UT,84074,435,49045,Tooele,MST,Y,40.5393,-112.3531,
Syracuse,UT,84075,801,49011,Davis,MST,Y,40.9559,-112.2089,
Tridell,UT,84076,435,49047,Uintah,MST,Y,40.4661,-109.8094,
Vernal,UT,84078,435,49047,Uintah,MST,Y,40.1055,-109.4989,
Vernal,UT,84079,435,49047,Uintah,MST,Y,40.4559,-109.5283,P
Vernon,UT,84080,435,49045,Tooele,MST,Y,40.0384,-112.3704,
Wallsburg,UT,84082,435,49051,Wasatch,MST,Y,40.3392,-111.4709,
Wendover,UT,84083,435,49045,Tooele,MST,Y,40.2503,-113.4575,
West Jordan,UT,84084,801,49035,Salt Lake,MST,Y,40.6225,-111.9765,
Whiterocks,UT,84085,435,49047,Uintah,MST,Y,40.4786,-109.9207,
Woodruff,UT,84086,435,49033,Rich,MST,Y,41.3955,-111.2304,
Woods Cross,UT,84087,801,49011,Davis,MST,Y,40.8888,-111.9281,
West Jordan,UT,84088,801,49035,Salt Lake,MST,Y,40.5881,-112.004,
Clearfield,UT,84089,801,49011,Davis,MST,Y,41.11,-112.024,P
Sandy,UT,84090,801,49035,Salt Lake,MST,Y,40.5885,-111.8805,P
Sandy,UT,84091,801,49035,Salt Lake,MST,Y,40.5879,-111.8814,P
Sandy,UT,84092,801,49035,Salt Lake,MST,Y,40.5907,-111.7078,
Sandy,UT,84093,801,49035,Salt Lake,MST,Y,40.5945,-111.8279,
Sandy,UT,84094,801,49035,Salt Lake,MST,Y,40.5705,-111.8627,
South Jordan,UT,84095,801,49035,Salt Lake,MST,Y,40.5586,-111.9523,
Orem,UT,84097,801,49049,Utah,MST,Y,40.3052,-111.674,
Park City,UT,84098,435,49043,Summit,MST,Y,40.7004,-111.5658,
ÿ,,,,,,,,,,
